acinar cell	alveolar epithelial cell	amniotic epithelial cell	astrocyte	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14+ monocyte derived endothelial progenitor cell	chondrocyte	ciliated epithelial cell	corneal epithelial cell	dendritic cell - monocyte immature derived	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hepatic stellate cell	immature langerhans cell	keratinocyte - epidermal	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	melanocyte - light	mesenchymal precursor cell	mesenchymal somatic cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	natural killer cell	neuron	neuronal stem cell	neutrophil	osteoblast	pericyte cell	placental epithelial cell	preadipocyte	reticulocyte	retinal pigment epithelial cell	sensory epithelial cell	skeletal muscle cell	skin fibroblast	small airway epithelial cell	smooth muscle cell of prostate	smooth muscle cell of trachea	stromal cell	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	vascular associated smooth muscle cell
altitude sickness	1	1	1	0.956253268657251	0.0613141857401338	0.329308706574691	1	1	0.714216201040889	0.998190261075026	1	0.999999999999151	1	1	1	1	1	1	1	1	1	1	1	1	0.00322267118577968	1	1	1	1	1	1	1	1	0.999401213822268	0.999963467166553	1	0.80691624535065	1	1	1	1	1	0.999798908104243	1	1	0.999999999999151	1	0.998190261075026	1	1	1	0.441297142749543	1	0.992923570144284	1	1	1	1	1	1	0.999999999999151	0.988154176340746	1	0.168213948885477	1	1	1	0.999999997735807	1	1	1	1	0.0128822038835943
alveolar bone loss	1	1	1	1	0.74071328175645	1	1	0.668721440369647	1	0.232735667833562	0.892268015700355	0.999999999999851	1	0.666468997172381	1	1	1	1.36238331176648e-09	1	0.214529359638658	1	1.23876081426448e-43	1	9.3610863389867e-81	1	4.67364277763175e-30	1	1	0.224656882427698	0.595786636098364	1	1	1	0.00552647384069284	1.48931864780726e-152	1	0.957915259010697	1	1.72380973712236e-06	1.72380973712236e-06	0.312976150996244	1	0.25420622782495	1	1	0.999999999999851	0.224656882427698	0.232735667833562	1	1	0.996802775647114	1	1	1.95154975759017e-28	4.56316637673529e-134	0.383903973902206	1	1	1	1	0.999999999999851	1	0.983854992015353	1	1	1	5.60145365834196e-07	0.14568619304222	1	1	1	1	1
amyloidosis	1	1	1	1.76991525838019e-07	0.536570644525588	1	1	0.318981940448399	0.690735493756143	0.983748947528739	0.987975486413501	1	0.225634127686922	0.999999999999196	0.999983880683749	1	1	1	1	1	1	1	1	1	1	1	1	1	0.922565989975	0.0245539834393006	1	0.873227231778337	1	4.26154289493601e-69	0.00402083974904661	1	0.818599960699903	0.63705964381179	1	1	1	1	0.956545640073801	1	1	1	0.922565989975	0.983748947528739	1	0.992331850535644	0.999999999948077	0.00179530805222523	0.864287336171105	0.997484537489053	0.999999998023632	8.03632695282912e-07	1	1	0.872294833951276	1	1	0.987761909549625	0.0129614952685311	0.999940411256802	1	1	0.999999817193295	1	1	1	1	1	0.229944298989641
amyotrophic lateral sclerosis	1	1	1	3.48867750476155e-264	0.9895967195139	1	1	1	0.688393350802937	0.997774887957009	0.998470057504287	0.999999946102758	1	0.999849105528746	0.999997487174415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999736479774452	1	1	1	0.999999997074325	0.999998655183451	1	0.999983208169257	1	6.01632602738612e-10	6.01632602738612e-10	1	1	0.999999659178931	1	1	0.999999946102758	1	0.997774887957009	1	3.30492705951738e-05	0.999999945339391	9.98012604599318e-322	3.17991899116517e-23	1	1	0.562677196822108	1	1	0.997071200293767	1	0.999999946102758	9.73705501148239e-37	0.704771139233019	1	1	1	1.08305411386254e-06	0.99999999999459	1	1	1	1	1
anemia	1	1	1	1	0.999968614422875	1	1	0.999994768133104	1	3.58780725739259e-14	1	1	1	1	1	1	1	1	1	1	1	0.99999350593832	1	0.999999956859032	1	1	1	1	0.999999932260011	1	1	0.991511244654048	1	5.19796910381906e-11	1	1	0.999999999761006	0.999999999999993	0.999999999648499	0.999999999648499	0.998644741255106	1	9.98012604599318e-322	1	0.956528065332467	1	0.999999932260011	3.58780725739259e-14	0.956528065332467	0.999999999781184	0.668440914662669	1	1	4.15504487795334e-83	1	1	1	1	9.98012604599318e-322	1	1	1	0.992717050340702	1	1	1	0.999999996764543	0.0679184399468828	1	1	1	0.748283305694499	0.999999999779156
anemia, aplastic	1	1	1	1	1	1	1	1	1	3.29169011774499e-25	1	0.999999999970487	1	0.998922040145401	0.9993641740399	1	1	1	1	0.883484220255714	1	0.716598794889718	1	0.833072339394559	1	1	1	1	0.583232590611256	0.999290151734676	1	0.929815144923815	1	9.69187697257787e-24	0.0802049177818668	1	0.418299949005472	0.99583823370849	4.6997855826781e-09	4.6997855826781e-09	1	1	9.98012604599318e-322	1	0.281796779771417	0.999999999970487	0.583232590611256	3.29169011774499e-25	0.281796779771417	1	2.61616918408157e-13	1	1	1.31241341808583e-42	0.999662591150947	1	1	1	8.44477726164622e-158	1	0.999999999970487	1	7.59741355765877e-10	1	1	1	2.94508424735816e-15	1.01123059223335e-231	1	1	1	1	1
aneurysm	1	1	1	1	0.276605998750814	1	1	0.999919420606161	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998403417739889	1	0.999943362138178	0.00534163041201783	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999919019924	1	1	1	1	1	0.946889634745141	1	1	1	1	1	1	0.999999999944471	1	1	1	1	1	1	1	1	1	2.84190526811365e-18
angina pectoris	1	1	1	1	0.145951580562562	1	1	1	0.999914529855578	0.0406697716972887	1	1	1	1	1	1	1	1	1	0.999999999994662	1	1	1	1	1	1	1	1	1	1	1	0.999999865482438	1	1	1	1	0.999997084527171	1	0.999999999110643	0.999999999110643	1	1	1	1	1	1	1	0.0406697716972887	1	0.999989394220826	1	1	1	0.99493853385107	1	1	0.932658818291433	1	0.999999999002787	1	1	1	0.999999999986588	1	1	1	1	1	1	1	1	1	0.946967434405335
angina pectoris, variant	1	1	1	1	1	1	1	1	1	0.980611268035043	1	0.999999999999726	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997803020678676	1	1	0.850338263876029	1	1	1	1	1	0.999889382087907	1	1	0.999999999999726	1	0.980611268035043	1	1	1	0.999999999440904	1	0.996005250328271	1	1	1	1	1	1	0.999999999999726	1	0.623985255791547	1	1	1	1	0.999999971600748	1	1	1	1	1
anorexia nervosa	1	1	1	0.999988635784713	1	1	1	1	0.999998571141814	0.999174350627644	1	1	1	0.999999072594749	0.999996971504512	1	1	1	1	0.502027078177586	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999999988	1	1	1	1	0.999546371741595	0.999546371741595	1	1	0.999999999991317	1	1	1	1	0.999174350627644	1	1	0.999983350406851	1	1	0.999999999458253	1	1	1	1	1	1	1	0.999998318586957	1	1	1	1	0.999998789069554	1	1	1	1	1	1
anti-glomerular basement membrane disease	1	1	1	1	1	1	1	1	1	0.0435084637818188	1	0.390824209875038	1	0.773339182169236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.3160392139709	1	1	7.19230846177868e-32	1	0.000497089914269579	1.11460845863707e-21	1	0.286697810940666	1	0.372248248699328	0.372248248699328	0.083692763469149	1	0.115186761350095	1	1	0.390824209875038	0.3160392139709	0.0435084637818188	1	1	1	1	1	3.37136143939839e-09	1	1	1	1	1	1	0.390824209875038	1	1	0.37687013677873	1	1	0.66824439852377	1.694739618996e-21	1	1	1	1	1
antiphospholipid syndrome	1	1	1	0.968718132775018	0.0473195900030984	1	1	1	1	1.68782663779534e-14	1	0.999999563785706	1	0.56664247767635	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0340724423884418	0.940983211025503	1	0.998812069454076	1	1	1	1	1	0.0222890333220381	1	1	0.999999563785706	1	1.68782663779534e-14	1	1	0.506312129597733	1	1	0.819519381115261	1	1	0.0546294571170911	1	1	1	0.999999563785706	1	0.968839934428836	1	1	1	0.999749573992373	0.996357222151383	1	1	1	1	1
antisocial personality disorder	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
anxiety disorders	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997995022980042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
aortic aneurysm, abdominal	1	1	1	1	4.3575073692833e-06	1	1	1	1	0.458088899496282	1	1	1	0.999999425749083	0.999999942156866	1	1	1	1	1	1	0.707672810657509	1	0.825558712503711	0.0152833871180673	1	1	1	1	1	1	0.999142331814651	1	0.999999813131138	2.27023773892954e-10	1	0.689251611529474	1	0.999542112233532	0.999542112233532	1	1	0.999999950060227	1	1	1	1	0.458088899496282	1	1	0.999965409034058	1	1	0.00362679763510703	0.999999225248024	1	1	1	1	1	1	0.999999999356915	0.995187034832952	1	1	1	0.999999671724119	1	1	1	1	1	1.63491056106113e-24
appendicitis	1	1	1	1	1	1	1	1	1	0.999999999838322	1	1	1	0.999999999408249	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999869326596	1	1	0.927614798705498	0.997403283115692	1	1	1	1	1	1	1	1	1	0.999999999838322	1	1	0.999998910478125	1	1	1.96803842285037e-05	1	1	1	1	0.91219589529762	1	1	1	1	0.999988282074152	1	1	0.999999997709444	1	1	1	1	1	1
arthritis	0.0024572796368765	1	1	1	1	1	1	0.999896597043999	1	2.31849134334287e-222	9.98012604599318e-322	1	0.999998457824372	2.77459853897889e-09	1	0.799987573632841	0.402027258781736	1	1	1	1	0.999982368266002	1	0.9999999749989	1	0.999196523927936	1	1	0.999999928967303	1	1	1	1	9.98012604599318e-322	2.07498607117336e-240	0.999999996316763	0.00353396702001635	1	1.17048654794292e-16	1.17048654794292e-16	0.0782046861905496	1	1.30089954869166e-54	1	0.19568818692706	1	0.999999928967303	2.31849134334287e-222	0.19568818692706	0.999999999999999	0.0133370364357984	1	1	9.98012604599318e-322	1.4437713771588e-17	0.99996334597487	0.999992446189803	0.999988310613372	0.999999999999954	1	1	1	0.997004308083459	1	1	1	9.0134756743887e-07	9.98012604599318e-322	0.342865412475654	1	1	1	0.999999999999904
arthritis, juvenile rheumatoid	1	1	1	1	1	1	1	1	0.999974599362561	4.05600810605323e-07	0.233893233078488	1	1	0.555683447332056	1	0.115521681658892	1	1	1	0.994784996854692	1	0.521574240663515	1	0.648920389362646	1	1	1	1	1	0.998891707478097	1	1	1	2.69036937766085e-21	0.935732297313381	1	0.99207095934531	1	0.853247212451091	0.853247212451091	1	1	0.0809457633548797	1	1	1	1	4.05600810605323e-07	1	1	0.0179007353083201	1	1	3.48102220556211e-05	0.99021438814094	1	1	1	1	1	1	0.999957665970428	0.937883575074966	0.997786114771923	1	1	0.993881241683316	8.75152407108963e-58	1	1	1	1	1
arthritis, psoriatic	1	1	1	1	1	1	1	1	1	5.63890729470968e-07	0.847264720467756	0.999684018576086	1	0.0200988936369025	1	1	1	1	1	0.908923609751488	1	1	1	1	1	1	1	1	0.554033470782207	9.81352378681215e-07	1	1	1	0.036192494888519	0.000803543620763577	1	0.209106731473955	1	1	1	1	1	0.104376753191986	1	1	0.999684018576086	0.554033470782207	5.63890729470968e-07	1	1	0.0060602834118338	1	1	0.00750446867845155	0.978613205553977	1	1	1	1	1	0.999684018576086	1	0.334594911742458	1	1	1	0.955398013246576	3.03615465692291e-32	1	1	1	1	1
arthritis, rheumatoid	4.81271964798819e-06	1	1	1	0.99990058653498	1	1	0.997087320651841	1	1.60525994055579e-303	2.52833164813199e-45	1	0.969392643253029	4.71329543207446e-21	1	0.745009777546392	0.131863586173022	1	1	1	1	0.997484744411576	1	0.999889738156163	1	0.929158793898443	1	1	0.975187014881355	0.999999999998785	1	0.999999999997483	1	9.98012604599318e-322	1.31480579491787e-213	1	8.72233665887627e-06	1	0.338018349379076	0.338018349379076	0.663011935324736	1	1.61194067013498e-149	1	0.364025832373648	1	0.975187014881355	1.60525994055579e-303	0.364025832373648	0.999999997064202	5.40551736381402e-14	1	0.999999925112699	9.98012604599318e-322	0.418397738385288	0.997133093105343	0.995368519509134	0.998361719384889	0.998556583813466	1	1	1	0.168706428692662	0.999999999920945	1	1	0.144123922654448	9.98012604599318e-322	1	1	1	1	0.999999768010148
as if' personality	1	1	1	0.999999999999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999177269723	1	1	1	1	1	1	1	1	1	1	1	1	1	1
asbestosis	1	1	1	1	1	0.42033127652602	1	1	1	0.492116876642249	1	0.999999999999996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.575882265839206	1.07317494204372e-55	1	0.783224125078109	1	1	1	1	1	0.999553713646495	1	1	0.999999999999996	1	0.492116876642249	1	1	0.00136569773880571	1	1	1.60530945829476e-10	1	1	1	1	1	1	0.999999999999996	1	1	0.00315543357732205	1	1	1	0.99971468309022	1	1	1	1	1
aspergillosis	1	1	1	0.996981202221271	0.947495550058364	0.0293857615193624	1	1	1	0.892188891967182	1	1	1	1.36536194596805e-06	0.999999642711093	1	1	1	1	1	1	1	1	1	1	1	1	1	0.738709545800584	0.999959397064146	1	0.99814487718903	1	0.999843999772492	4.00452406449136e-06	1	0.998886052085078	1	0.999875723926979	0.999875723926979	1	1	0.766678443804275	1	1	1	0.738709545800584	0.892188891967182	1	1	0.887765566253042	1	1	1.12444793866807e-36	1	1	1	1	0.973683637111724	1	1	1	1	7.06890789434724e-10	1	1	0.999999877551437	0.00385639431869374	1	1	0.0574184594212066	1	1
